timeIndex,positionErrorX,positionErrorY,positionErrorZ,rangeError,velocityError,azimuthError,elevationError,positionErrorH,positionErrorV,snr
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-44.1860540157578
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-39.0251784553629
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-44.0706868746621
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-41.7993452511697
1,1.66256613382006,-0.9924382047042,-1.66895053696766,1.25309932738156,-8.09935707486814,0.189194261561113,-0.271317275852106,1.93624888366188,-1.66895053696766,-36.4028171924316
2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-45.1241307349289
2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-37.844324679868
2,0.0126865259078102,-0.400108837603682,2.16011747768283,1.29119886521357,6.62113533787259,-0.018670677791043,0.173021469881736,0.400309917274328,2.16011747768283,-37.4353193740719
2,-2.92267186970865,-3.04618725012678,1.68553412748682,3.03792168452668,15.9150349667053,-0.380648015971133,0.122827849933111,4.2215243243195,1.68553412748682,-33.5267563235936
2,-2.81271533810492,-4.03572225681111,0.88795105012376,2.88399127520961,15.7641723024587,-0.799177449078655,0.0752831780467069,4.91918913107956,0.88795105012376,-27.9912303541216
3,-0.329086498742498,0.491875930695784,5.31777538755441,1.40511542865966,19.275912117709,-0.012794998648431,0.600412515293879,0.591810657940899,5.31777538755441,-27.4371736312046
3,1.44420052009674,-0.996898088434904,-0.320547721499693,1.35849989037189,-0.363348791948199,0.174044948769421,-0.11729080074014,1.75485638756363,-0.320547721499693,-32.215198236789
3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-43.5984099597638
3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-43.7134044727024
3,1.93789627259551,-0.110420413924672,3.70964271591561,1.26963032826114,32.5054115648555,0.25091420649531,0.488848740547725,1.94103957485438,3.70964271591561,-31.4474834909325
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-45.5177662913739
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-31.9815686573925
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-42.9408920236883
4,-1.41007285842664,-0.719806312317218,2.8183297644805,1.06186822139188,-2.33477035592496,-0.234099793245065,0.410411422672071,1.58316979295437,2.8183297644805,-42.1631992769587
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-44.3094319680794
5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-50.4815349064942
5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-41.2731996015329
5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-47.8989938125052
5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-37.2952277107147
5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-49.2045018747994
6,1.34624495999827,-0.401504099661253,-3.2730691128414,0.936875014511656,1.36109667947896,0.132310766979955,-0.41844615720389,1.40484199622788,-3.2730691128414,-18.6868243499669
6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-45.456953513658
6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-30.5496118910711
6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-40.9413557594681
6,-2.73125723140274,-2.94439810728275,3.3782213040993,2.82617782185235,111.098810632514,-0.656051917535336,0.421930008652758,4.01612328972356,3.3782213040993,-26.5536522488661
7,5.58541630319306,2.1703668526581,4.9412907167515,1.13149169172186,4.46265592796303,0.659763848375377,0.49855871704122,5.99227565746869,4.9412907167515,-29.1587938958426
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-42.4528297972669
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-57.5588639040445
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-33.7239007419623
7,-3.66863828487716,-1.01288755951592,4.65605518330418,1.10627330625408,-29.9401700171123,-0.450793741440052,0.534650586858138,3.80589648748998,4.65605518330418,-28.8585825825627
8,5.07148436567536,1.84802327526362,0.0146879721117301,-0.542626355149878,2.8752987727896,0.601895204832289,0.00639437610983151,5.39769799981489,0.0146879721117301,-31.3983479913587
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-41.7808842264861
8,8.36046092868614,1.5081911693749,-0.0406686962763843,1.50249947651218,108.884147329434,0.81500232869287,-0.0585535278859304,8.49540743834384,-0.0406686962763843,-42.1866092341683
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-36.4158922737037
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-44.1174813685469
9,-1.17900503926749,-2.11309585533469,-3.97144783646151,1.3556294053426,8.67954942707353,-0.170317418441414,-0.451657909168068,2.41975762762529,-3.97144783646151,-41.0389689765043
9,-7.50061765858462,-0.950116952931836,6.12212008573721,1.28665917505884,-3.78809964081109,-0.713261766313849,0.537121532594924,7.56055470746161,6.12212008573721,-42.0214866732428
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-34.9180016057662
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-34.624151963979
9,-0.524396387472819,-1.60708370771836,1.40928198933231,1.47161541864534,15.3434027355549,-0.115419850032339,0.159760245356146,1.69047615032225,1.40928198933231,-24.4179559903728
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-39.3331790622703
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-45.0034947312968
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-38.1609821099949
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-39.001464087318
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-41.4173728379928
11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-42.8229926785592
11,0.75588193235528,-1.48285571211726,-2.15511210455617,1.32847688578369,3.90534093731318,0.0649546818756903,-0.324545673778329,1.66439735598802,-2.15511210455617,-25.0928416137696
11,3.17510997343626,-1.95754661890174,-3.02284225725535,1.09099329957053,14.5605681084243,0.345506202476841,-0.510422740912517,3.73005524202901,-3.02284225725535,-38.2678912373554
11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-41.0206583997153
11,-5.67446694170209,-5.98031735062243,-0.538282336432729,3.00584744285464,-2.10229301662553,-0.934772638067074,-0.161087537374687,8.24401423377141,-0.538282336432729,-32.6756223308767
12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-32.7116920100279
12,6.74174763229644,1.65741010310492,-0.0206922698039023,0.948345623299247,-15.9516364913444,1.37769459378812,-0.104890386912828,6.9424901431294,-0.0206922698039023,-33.3313959660318
12,1.79284930467317,-0.840082823932988,-0.52064939178905,0.885349310678066,3.37711478223056,0.264703586492459,-0.144707045348383,1.97991105364213,-0.52064939178905,-33.7445065637325
12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-42.3150525613041
12,3.5167682846,0.294133918631019,0.770341270578626,1.35893554456868,4.05631417994919,0.500870434798429,0.036012070252557,3.52904717022282,0.770341270578626,-22.5849042088283
13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-40.4097379067113
13,2.87460871507717,-2.89814990905276,-1.8591986277639,2.93793741410781,-14.6557854141342,0.383531764985946,-0.34865601103896,4.08199071044266,-1.8591986277639,-33.665394436061
13,1.30092905823096,-2.57102255344186,1.43484602843353,2.96301280349678,-29.783112454851,0.0649262285824221,0.115431492612906,2.88141864102675,1.43484602843353,-36.2704469348697
13,7.25560025113407,4.89766108124551,2.52662289768443,-0.482212262740404,-1.18261617581871,0.960642332579198,0.30748574171394,8.7539030763999,2.52662289768443,-35.588232285694
13,3.78432731049102,1.08813628774579,2.32454408471102,1.18778743469579,37.1966285234462,0.40317624723113,0.188723350632873,3.93766095209293,2.32454408471102,-41.3731493389369
14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-40.8827663966329
