timeIndex,positionErrorX,positionErrorY,positionErrorZ,rangeError,velocityError,azimuthError,elevationError,positionErrorH,positionErrorV,snr
1,4.14056743722691,-1.66509806460672,1.1052378878785,2.90059595709727,-5.11515449625123,-0.31293325268031,0.0016399538777101,4.46282984965603,1.1052378878785,-40.0540209215165
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-46.9049992203629
1,1.56802546091697,2.71115832396183,-2.87500402231137,1.32356398536774,-0.65714302969612,0.144957020623707,-0.362623384555544,3.13194560994781,-2.87500402231137,-46.4731756408979
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-52.8888394502183
1,0.437680806876813,1.39333089512238,0.119696698923889,1.16265051060486,-34.49453402181,0.0757086824199718,0.00328193569831292,1.46045728181651,0.119696698923889,-37.9477676621102
2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-46.2303646732387
2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-43.3996969025294
2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-57.7612162785586
2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-44.7493947551443
2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-39.5041573743831
3,3.89196106856605,0.37632976353612,-2.03426239222946,3.00646561435804,9.96058835548124,-0.122167907825141,-0.225575978908543,3.91011317613147,-2.03426239222946,-37.8835942799178
3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-47.3364049501861
3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-51.657240852856
3,1.12678638247557,1.0445314039158,3.6880236218056,2.86272656572078,21.2523858104698,0.0326047355073058,0.241383559449854,1.53645481726561,3.6880236218056,-43.0783380895133
3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-48.1471882205447
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-54.3894843955134
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-43.7197682545846
4,2.66705513663865,-3.91851842841547,-5.7937557935217,1.05895476098533,2.32423104503696,-0.386303424848045,-0.498991075381604,4.74003900571528,-5.7937557935217,-37.4878618216807
4,0.151437036407074,1.19974802261052,6.08840800705369,1.5793125573573,-15.7785197299324,0.0775780884264918,0.546723226261433,1.20926775105996,6.08840800705369,-37.3987579974796
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-46.8278493914431
5,1.01030241838473,0.813810817815341,-1.07850978876137,1.11410861126558,10.7229283869104,0.0353030073050782,-0.106064776271593,1.29730452237988,-1.07850978876137,-41.9897162552826
5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-52.0529797986974
5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-50.211147022647
5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-49.338740249225
5,1.75160079764946,-2.77445254664285,1.80558170228946,0.966144609693401,12.6952916906405,-0.336746388431035,0.161816646129287,3.28111144094485,1.80558170228946,-43.255966670978
6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-128.300308562411
6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-49.4932538037286
6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-44.5771163439956
6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-48.5802083776279
6,-3.17225978113891,4.81771195107294,2.807558590257,1.11672565319168,2.43232063682076,0.457263005648741,0.208648471420712,5.76832562903157,2.807558590257,-39.3909271079221
7,1.98429868766667,-4.54399325604314,3.54476281524597,1.30203389089456,-10.9461963128594,-0.496316151456593,0.302248807372454,4.95835819529421,3.54476281524597,-43.5278677549126
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-45.7196640113359
